District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,4,AMBOORI,GEORGE KUTTY,IND,OTH,262,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,11,CHIRAYAKKODU,CHIRAYAKKODE VIJAYAN,INC,UDF,283,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,13,KANDAMTHITTA,ANITHA MADHU,CPI(M),LDF,340,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,7,KANNANNOOR,KUMARI SHEEBA. S,CPI(M),LDF,360,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,5,KOOTTAPPU,B. SHAJI,IND(LDF),LDF,489,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,8,KUDAPPANAMOODU,SULAYYA SHAMNAD,CPI(M),LDF,638,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,12,KUTTAMALA,VALSALA RAJU,INC,UDF,424,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,1,MAYAM,AMBILI. T. PUTHOOR,CPI(M),LDF,504,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,2,PANCHAYAT OFFICE WARD ,LALI JOHN,INC,UDF,392,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,10,PURUTHIPPARA,BINU THANKAPPAN,INC,UDF,325,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,6,THEKKUPARA,LATHASURENDRAN,BJP,BJP+,504,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,3,THODUMALA,SHIBU. V,BJP,BJP+,508,2015
Thiruvananthapuram,Grama Panchayat,G01014,Amboori,9,THUDIYAMKONAM,RAVEENDRAN. D,CPI,LDF,312,2015
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,6,ANADU TOWN,T.SINDHU,INC,UDF,471,2015
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,5,CHANDRAMANGALAM,ANAD JAYACHANDRAN,INC,UDF,347,2015
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,2,CHELA,MOOZHY S SUNIL,INC,UDF,587,2015
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,7,CHERUVELI,AYANIMOODU SHEEBA,IUML,UDF,383,2015
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,11,CHULLIMANOOR,AKBAR SHAN,INC,UDF,393,2015
