District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,3,ANIKKADU,PREMSY C.C,IND(LDF),LDF,411,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,6,KURUNNAMVELI,P.K.THANKAPPAN(RAJU),INC,UDF,302,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,13,MARRICKAL,SHEEBA JOSEPH,IND(LDF),LDF,294,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,1,NALLOORPPADAVU,THOMAS MATHEW(ABEY),KCM,UDF,359,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,4,NOOROMMAVU,P.T.ABRAHAM,INC,UDF,358,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,12,PATHIKKADU,JOSEPH VARGHESE (SIBY),KCM,UDF,344,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,11,POOVANPARA,DAISY (BINCY),IND(LDF),LDF,332,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,9,PULIKKAMALA,JOLY VARGHESE,IND(LDF),LDF,337,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,10,PULLUKUTHI,SUMITHA S. NAIR,BJP,BJP+,311,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,5,PUNNAVELI,LIYAKHATH ALIKUNJU(ALIKUNJU RAWTHER),INC,UDF,271,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,8,VADAKKEMURI,VIJAYALAKSMI,BJP,BJP+,381,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,7,VAIPUR,JOSEPH JOSEPH,INC,UDF,392,2015
Pathanamthitta,Grama Panchayat,G03001,Anikkadu,2,VALLIYAKULAM,SREEDEVI.M.S,KCM,UDF,296,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,7,ARANMULA KIZHAKKU,V.R.KAVERI,CPI(M),LDF,562,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,6,ARANMULA WEST,SUJA SURESH,BJP,BJP+,446,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,1,ARATTUPUZHA,MANOJ GEORGE,INC,UDF,395,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,4,EDAYARANMULA,PRASAD VERUNKAL,CPI,LDF,367,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,12,ERUMAKKAD,SUJA MANI,CPI(M),LDF,563,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,11,GURUKKAN KUNNU,SHAJAN THOMAS,KCM,UDF,287,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,5,KALARIKODE,K.K.SIVANANDAN,CPI(M),LDF,515,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,9,KIDANGANOOR,SHIJA.T.TOJI,INC,UDF,356,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,14,KOTTA KIZHAKKU,SREEKUMAR.S.V,CPI(M),LDF,349,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,15,KOTTA PADINJARU,KRISHNANKUTTY.M.T,BJP,BJP+,405,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,3,KOTTAKKAKAM,REMA DEVI,INC,UDF,384,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,16,KURICHIMUTTAM THEKKU,SUSAN,CPI(M),LDF,405,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,17,KURICHIMUTTAM VADAKKU,SOMAVALLI,CPI(M),LDF,390,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,2,MALAKKARA,DEVI RAMESH,INC,UDF,418,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,10,MANAPPALLY,PRASANNAN.T.B,INC,UDF,254,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,8,NALKKALICKAL,M.P.UNNIKRISHNAN NAIR,CPI(M),LDF,383,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,18,NEERVILAKAM,R.VASANTH,BJP,BJP+,625,2015
Pathanamthitta,Grama Panchayat,G03046,Aranmula,13,VALLANA,ISHA PURUSHOTHAMAN,CPI(M),LDF,339,2015
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,13,ARUVAPPULAM,SMITHA SANTHOSH,INC,UDF,441,2015
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,8,ATHIRUMKAL,BIMAL KUMAR,INC,UDF,502,2015
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,15,AYRAVON,BINDHU S,CPI(M),LDF,340,2015
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,6,KALLELI,MATHEW VARGHESE,IND(LDF),LDF,428,2015
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,5,KALLELI THOTTAM,SINDHU P. (VAVA),CPI(M),LDF,421,2015
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,3,KOKKATHODU,SUSAMMA,INC,UDF,463,2015
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,2,KUMMANNOOR,RAJAN (KAVUMPATTU),CPI(M),LDF,399,2015
Pathanamthitta,Grama Panchayat,G03036,Aruvappulam,14,MAVANAL,PUSHPALATHA,CPI(M),LDF,452,2015
