District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,14,A K G NAGAR,SUNU,INC,UDF,506,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,17,ARATTUPUZHA,ABDUL RASHEED.K.Y,INC,UDF,521,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,16,ARATTUPUZHA  M.E.S.  WARD,MYMUNATH FAHAD,INC,UDF,589,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,15,ARATTUPUZHA PHC WARD,SHEHEEN,INC,UDF,396,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,13,KALLIKKADU,U.SUMESH,BJP,BJP+,581,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,3,KANAKAKKUNNU,SREEJA RAMAKRISHNAN,INC,UDF,717,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,5,KOCHIYUDE JETTY,S.AJITHA,INC,UDF,637,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,1,MANGALAM,VIDYADHARAN,CPI(M),LDF,459,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,2,N T P C,NIDHEESH,INC,UDF,519,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,12,NALLANIKKAL,RETHNAMMA RAJENDRAN,INC,UDF,505,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,4,PATTOLI MARKET,LALI.S,INC,UDF,461,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,8,PERUMPALLY,RANI JAYAN,INC,UDF,561,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,9,PERUMPALLY NORTH,NIDHEESH SURENDRAN,INC,UDF,497,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,10,RAMANCHERRY,S.SYAM KUMAR,INC,UDF,502,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,18,S N MANDIRAM,SINDHUJA SUMESH,CPI,LDF,435,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,7,THARAYILKADAVU,KUKKU UNMESH,INC,UDF,614,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,6,VALIYAZHEECKAL,GOPALAKRISHNAN,CPI(M),LDF,630,2015
Alappuzha,Grama Panchayat,G04070,Aarattupuzha,11,VATTACHAL,SADASIVAN,INC,UDF,451,2015
Alappuzha,Grama Panchayat,G04040,Unknown,1,ALA,REMA RAMACHANDRAN,INC,UDF,352,2015
Alappuzha,Grama Panchayat,G04040,Unknown,9,CHAMMATH,BEENA MATHEW,INC,UDF,241,2015
Alappuzha,Grama Panchayat,G04040,Unknown,5,KINARUVILA,LEELAMMA. C. N,IND(LDF),LDF,252,2015
Alappuzha,Grama Panchayat,G04040,Unknown,8,KODUKULANJI,MAHENDRADAS,INC,UDF,186,2015
Alappuzha,Grama Panchayat,G04040,Unknown,4,MALAMODI,K. R. MURALEEDHARAN PILLAI,CPI(M),LDF,276,2015
Alappuzha,Grama Panchayat,G04040,Unknown,13,NEDUVARAMKODE,PALLATHU VASUDEVAN,INC,UDF,302,2015
Alappuzha,Grama Panchayat,G04040,Unknown,10,PENNUKKARA,V. K. SHOBHA,INC,UDF,286,2015
Alappuzha,Grama Panchayat,G04040,Unknown,3,POOMALA,SUNITHA RAJAN,INC,UDF,286,2015
Alappuzha,Grama Panchayat,G04040,Unknown,11,PULLAMTHAZHAM,SEEMA SREEKUMAR,INC,UDF,265,2015
Alappuzha,Grama Panchayat,G04040,Unknown,7,THEVARAKKODE,T. K. SOMAN,CPI(M),LDF,349,2015
Alappuzha,Grama Panchayat,G04040,Unknown,2,UMMATH,SUMA ASHOKAN,INC,UDF,271,2015
Alappuzha,Grama Panchayat,G04040,Unknown,12,UTHARAPALLY,SAJIKUMAR. V. N,INC,UDF,353,2015
Alappuzha,Grama Panchayat,G04040,Unknown,6,VALAPPUZHA,ANEESHA BIJU,BJP,BJP+,326,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,14,BEACH WARD,K. SINIL.,CPI(M),LDF,622,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,11,KAKKAZHAM H S WARD,LEKHAMOL SANIL,IND,OTH,560,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,13,KAKKAZHAM WEST WARD,U. RAJUMON.,CPI(M),LDF,391,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,12,KAMBIVALAPPU WARD,VAHIDA KUNJUMON.,SDPI,OTH,516,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,9,KANJIPADAM SOUTH ,G. RADHA.,CPI(M),LDF,552,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,8,KANJIPPADAM NORTH,PRADEEP. C.,BJP,BJP+,375,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,3,KURAVANTHODU EAST,V. SREEJITH.,BJP,BJP+,376,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,17,M C H WARD,SHAJI. (ANIYAN).,BJP,BJP+,481,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,7,NEERKKUNNAM EAST,HALEEMA HASHIM.,CPI(M),LDF,375,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,16,NEERKKUNNAM WEST,SREEJAMOL,IND,OTH,327,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,6,PANCHAYATH OFFICE WARD,SHEMEER,PDP,OTH,303,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,18,SHISU VIHAR,RAJESWARI,INC,UDF,287,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,2,T D M C WARD,SHEEJA NOUSHAD,SDPI,OTH,414,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,10,VALANJAVAZHI EAST ,AFSATH.,CPI(M),LDF,305,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,15,VALANJAVAZHI WEST,SHINOYMON. N.,INC,UDF,448,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,1,VANDANAM COASTAL AREA,SIBILAL. M. D.,CPI,LDF,484,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,4,VANDANAM EAST,HARIS.,CPI(M),LDF,451,2015
Alappuzha,Grama Panchayat,G04023,Ambalappuzha North,5,VANDANAM SOUTH,MINI VENU.,BJP,BJP+,348,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,8,AMAYIDA,MAYA,CPI(M),LDF,395,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,9,AMAYIDA WEST,MANOJKUMAR,BJP,BJP+,528,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,10,AMBALAPPUZHA ,SUSHAMA RAJEEV,BJP,BJP+,355,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,2,KAKKAZHAM EAST,SABITHA,CPI(M),LDF,469,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,1,KAKKAZHAM WEST ,RASEENA,SDPI,OTH,364,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,4,KANJIPADAM ,RATHIYAMMA,CPI(M),LDF,409,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,6,KARUMADI PADINJARU ,RAVIKUMAR,CPI(M),LDF,420,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,7,KARUMADI WARD,KARUMADY MURALI,INC,UDF,281,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,3,KATTAKKUZHY  ,INDIRA,CPI(M),LDF,590,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,12,KOMANA ,RAMADEVI (SREEDEVI),CPI,LDF,364,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,14,KOMANA  SOUTH,SHYAMLAL.B,INC,UDF,593,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,11,KOMANA NORTH,R.SREEKUMAR,CPI,LDF,354,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,15,KOMANA WEST,SREEJA RATHEESH,CPI(M),LDF,614,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,13,PANCHAYATH OFFICE ,G.VENULAL,CPI(M),LDF,538,2015
Alappuzha,Grama Panchayat,G04022,Ambalappuzha South,5,SAKTHEESWARI ,SOBHA BALAN,CPI(M),LDF,430,2015
Alappuzha,Grama Panchayat,G04001,Arookutty,13,C H C,M ASOKAN,CPI,LDF,563,2015
Alappuzha,Grama Panchayat,G04001,Arookutty,11,HIGH SCHOOL,V A RAJAN,CPI(M),LDF,346,2015
Alappuzha,Grama Panchayat,G04001,Arookutty,5,KANNARAPALLY,ABIDA AZEEZ,CPI(M),LDF,475,2015
Alappuzha,Grama Panchayat,G04001,Arookutty,6,KATTILAMADAM,MUMTHAS SUBAIR,CPI,LDF,469,2015
Alappuzha,Grama Panchayat,G04001,Arookutty,7,KATTUPURAM,YASMIN,IND,OTH,591,2015
Alappuzha,Grama Panchayat,G04001,Arookutty,12,KOTOORPALLI,AHAMMED KUTTY(MAMMI PUTHUMANA),CPI,LDF,303,2015
