District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Idukki,Grama Panchayat,G06001,Adimali,5,14TH MILE,MAKKAR BAVA (M B MAKKAR),INC,UDF,552,2015
Idukki,Grama Panchayat,G06001,Adimali,13,200 ACRE,VARGHESE PAILY,NCP,LDF,531,2015
Idukki,Grama Panchayat,G06001,Adimali,15,ADIMALI,THAMPI GEORGE,IND(LDF),LDF,535,2015
Idukki,Grama Panchayat,G06001,Adimali,8,ADIMALI NORTH,SREEJA,CPI(M),LDF,489,2015
Idukki,Grama Panchayat,G06001,Adimali,7,CHATTUPARA,SALINI NILESH,IND,OTH,435,2015
Idukki,Grama Panchayat,G06001,Adimali,16,CHINNAPPARAKUDY,DEEPA MANOJ,INC,UDF,749,2015
Idukki,Grama Panchayat,G06001,Adimali,19,DEVIYAR,BABU ULAKAN,INC,UDF,543,2015
Idukki,Grama Panchayat,G06001,Adimali,3,IRUMPUPALAM,SIYAD SULAIMAN,IUML,UDF,464,2015
Idukki,Grama Panchayat,G06001,Adimali,20,KANJIRAVELY,SREENIVASAN NEELAKANDAN(M N SREENIVASAN),CPI(M),LDF,471,2015
Idukki,Grama Panchayat,G06001,Adimali,10,KARIMKULAM,AJITHA MOHANAN,CPI(M),LDF,351,2015
Idukki,Grama Panchayat,G06001,Adimali,12,KOOMPANPARA,PRINCY MATHEW,INC,UDF,552,2015
Idukki,Grama Panchayat,G06001,Adimali,6,MACHIPLAVU,ACHAMMA CHACKOCHAN,INC,UDF,742,2015
Idukki,Grama Panchayat,G06001,Adimali,17,MACHIPLAVU WEST,VARGHESE M P,IND,OTH,401,2015
Idukki,Grama Panchayat,G06001,Adimali,14,MANNAMKALA,BINU P R (BINU CHOPRA),IND,OTH,437,2015
Idukki,Grama Panchayat,G06001,Adimali,18,MEZHUKUMCHAL,RAJANI SATHEESAN,CPI(M),LDF,629,2015
Idukki,Grama Panchayat,G06001,Adimali,2,PARISSAKKALLU,MARY YACOB,INC,UDF,535,2015
Idukki,Grama Panchayat,G06001,Adimali,1,PAZHAMPILLICHAL,SEEMA BIJU,CPI(M),LDF,487,2015
Idukki,Grama Panchayat,G06001,Adimali,4,PLAKKAYAM,SUMESH THANKAPPAN,CPI(M),LDF,440,2015
Idukki,Grama Panchayat,G06001,Adimali,11,POONJARKANDOM,GEORGE PAULOSE,KCM,UDF,317,2015
Idukki,Grama Panchayat,G06001,Adimali,9,THALAMALI,SMITHA MUNISWAMI,INC,UDF,430,2015
Idukki,Grama Panchayat,G06001,Adimali,21,VALARA,DEEPA RAJEEV,IND,OTH,480,2015
Idukki,Grama Panchayat,G06025,Alakode,13,ALAKODE NORTH,CHANDRAN NELLAN (CHANDRAN A N),IND(LDF),LDF,265,2015
Idukki,Grama Panchayat,G06025,Alakode,12,ALAKODE SOUTH,REJI SEVI,INC,UDF,162,2015
Idukki,Grama Panchayat,G06025,Alakode,10,ANCHIRI,TOMY THOMAS (TOMY KAVALAM),KCM,UDF,355,2015
Idukki,Grama Panchayat,G06025,Alakode,4,CHAVARNA,MINI MICHEAL,IND(LDF),LDF,179,2015
Idukki,Grama Panchayat,G06025,Alakode,2,CHILAVU EAST,SAFIA MUHAMMED,IUML,UDF,191,2015
Idukki,Grama Panchayat,G06025,Alakode,1,CHILAVU WEST,EMMANUEL MATHAI,IND,OTH,283,2015
Idukki,Grama Panchayat,G06025,Alakode,9,IDIVETTIPPARA,DALY FRANCIS,INC,UDF,129,2015
Idukki,Grama Panchayat,G06025,Alakode,11,INCHIYANI,MINI JERRY,INC,UDF,263,2015
Idukki,Grama Panchayat,G06025,Alakode,5,KURICHIPPADAM,SANOOJA SUBAIR,INC,UDF,200,2015
Idukki,Grama Panchayat,G06025,Alakode,8,MANJAPRA,BABY JOSEPH,KCM,UDF,222,2015
Idukki,Grama Panchayat,G06025,Alakode,6,PALAPPILLY,JAIMON ABRAHAM,KCM,UDF,319,2015
Idukki,Grama Panchayat,G06025,Alakode,7,THALAYANADU,SHREEJA BABU,CPI,LDF,193,2015
Idukki,Grama Panchayat,G06025,Alakode,3,UPPUKULAM,BIJU JOSEPH,INC,UDF,261,2015
Idukki,Grama Panchayat,G06031,Arakulam,14,12TH MILE,BIJI VELUKUTTAN,BJP,BJP+,280,2015
Idukki,Grama Panchayat,G06031,Arakulam,13,A K G NAGAR,USHA GOPINATH,INC,UDF,530,2015
Idukki,Grama Panchayat,G06031,Arakulam,1,ARAKULAM,SIJUMON,IND,OTH,322,2015
Idukki,Grama Panchayat,G06031,Arakulam,8,EDADU,BINDHU ANILKUMAR,IND,OTH,343,2015
Idukki,Grama Panchayat,G06031,Arakulam,9,ELAPPALLY,SHIBU JOSEPH,IND,OTH,459,2015
Idukki,Grama Panchayat,G06031,Arakulam,6,JALANDHAR,REMA,BJP,BJP+,390,2015
Idukki,Grama Panchayat,G06031,Arakulam,11,K S E B COLONY,TOMY DEVASIA(TOMYVALIKULAM),INC,UDF,153,2015
Idukki,Grama Panchayat,G06031,Arakulam,10,KANNICKAL,ELIZABETH JOHNSON (LEELAMMA),IND,OTH,304,2015
Idukki,Grama Panchayat,G06031,Arakulam,3,KARIPPALANGADU,SREEKALA GOPI,INC,UDF,376,2015
Idukki,Grama Panchayat,G06031,Arakulam,2,KAVUMPADY,NIROSHA ANEESH,KCM,UDF,308,2015
Idukki,Grama Panchayat,G06031,Arakulam,4,KULAMAVU,SELIN MANUEL,IND,OTH,305,2015
Idukki,Grama Panchayat,G06031,Arakulam,12,MOOLAMATTOM,A.D MATHEW (MATHAYICHAN ANCHANICKAL),IND,OTH,473,2015
Idukki,Grama Panchayat,G06031,Arakulam,15,MOONNUNKAVAYAL,TOM JOSE( TOMY KUNNEL),KCM,UDF,349,2015
Idukki,Grama Panchayat,G06031,Arakulam,7,PATHIPPALLY,LEELA GOPALAN,IND,OTH,252,2015
Idukki,Grama Panchayat,G06031,Arakulam,5,URUMBULLU,JOSEPH LUKA (K.L JOSEPH),CPI(M),LDF,206,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,11,ALADY,NISHAMOL BINOJ,IND(LDF),LDF,317,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,2,ANAKKUZHY,BABU A.L.,CPI(M),LDF,356,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,1,AYYAPPANCOIL,VIJAYAMMA JOSEPH,INC,UDF,474,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,10,CHAPPATH,JANCY CHERIYAN,CPI(M),LDF,243,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,4,CHEMBALAM,AJESH MOHANAN,KCM,UDF,302,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,5,DOORLAND,SULOCHANA CHANDRAN,INC,UDF,301,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,9,HEAVENVALLEY,REJANI KUNJUMON,INC,UDF,389,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,13,MARYKULAM,SAJI VARGHESE,IND(LDF),LDF,298,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,3,MATTUKKATTA,ABHILASH MATHEW,CPI(M),LDF,361,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,8,PACHAKKADU,JAYAMOL,CPI(M),LDF,334,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,6,PALANIKKAVU,MUTHUPANDY M.,INC,UDF,409,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,12,POOVANTHIKKUDY,PRADEEP. P.P.,BJP,BJP+,194,2015
Idukki,Grama Panchayat,G06040,Ayyappancoil,7,SULTHANIYA,MURUKESWARI MUTHU,INC,UDF,267,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,13,20 ACRE,MOHANAN. N,KCM,UDF,269,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,4,BISONVALLEY,PREETHY PREMKUMAR,CPI(M),LDF,374,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,5,CHOKRAMUDY,ANILA PRASAD (ANILA CHANDRABOSE),INC,UDF,342,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,1,DESHEEYAM,BAIJU KRISHNANKUTTY ( N.K. BIJU),CPI(M),LDF,483,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,7,HIGH SCHOOL WARD,SANTHOSH BHASKARAN,IND(LDF),LDF,366,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,2,IRUTTALA,SHYLA SHAMSUDEEN,INC,UDF,225,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,10,JOSEGIRI,STEPHEN KURIAN,IND,OTH,409,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,9,KOCHUPPU,ROYICHAN GEORGE (ROYICHAN KUNNEL),KCM,UDF,425,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,6,MUTTUKADU,LALY GEORGE,INC,UDF,343,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,3,POTTANKADU,RAJU SUBHASHAN,IND(LDF),LDF,346,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,8,TEA COMPANY,MANJU JINS,INC,UDF,511,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,11,THEKKINKANAM,SHAINY GEORGE,IND(LDF),LDF,333,2015
Idukki,Grama Panchayat,G06003,Baisonvalley,12,UPPAR,MERCY THOMAS,INC,UDF,356,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,3,AMBALAMEDU,ASHA,CPI(M),LDF,627,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,6,ANAKKARA,ANCY BIJU,IND(LDF),LDF,305,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,1,ANAVILASOM,BINDHUMOL JAYAKUMAR (SHEELA),KCM,UDF,332,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,4,CHAKKUPALLAM NORTH,KUSUMAM SATHEESH,IND(LDF),LDF,502,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,13,CHAKKUPALLOM SOUTH,LOVELY EASOW P.E,INC,UDF,538,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,8,CHELLARKOVIL,TINCY SHIJU,INC,UDF,526,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,10,MATHAIKANDOM,VALSAMMA,IND(LDF),LDF,393,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,14,MELCHAKKUPALLOM,VIJAYAMMA KRISHNANKUTTY,CPI(M),LDF,352,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,12,MENONMEDU,ANTONY SCARIA,INC,UDF,639,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,7,MYLADUMPARA,DEVASIYA JOSEPH,CPI(M),LDF,502,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,2,NADUPPARA,MARIYAMMAL MADASWAMI,CPI(M),LDF,339,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,15,NEDUMTHOTTY,SURENDRAN MADHAVAN,CPI(M),LDF,380,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,5,SULTHANKADA,LEELAMMA VARGHESE,IND(LDF),LDF,476,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,9,UDAYAGIRIMEDU,THULASI PRADEEP,CPI(M),LDF,531,2015
Idukki,Grama Panchayat,G06041,Chakkupallam,11,VALIYAPARA,RAJAPPAN,CPI,LDF,376,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,8,B L RAM,PALTHAYI PANCHAMRITHAM,INC,UDF,342,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,7,CHEMBAKATHOZHUKUDY,RAJAPPAN,CPI(M),LDF,222,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,2,CHINNAKANAL,SARAVANA KUMAR,CPI(M),LDF,195,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,3,GUNDUMALA,SIMON,IND,OTH,330,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,4,LOWER SURIANELLI,SELVI NJANADAS,INC,UDF,309,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,13,MUTTUKADU,SREEJA JAYAN,INC,UDF,345,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,5,NAGAMALA,SREEDEVI ANPURAJ,CPI,LDF,337,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,6,PAPPATHICHOLA,ROSAMMAL,CPI,LDF,172,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,11,PERIAKANAL,KARUPPAYI C,CPI(M),LDF,419,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,1,POWERHOUSE,CHELLAPPANDY ANDY,INC,UDF,293,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,9,SINGUKANDAM,MURUKESWARY RAVI,CPI,LDF,241,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,10,SURIANELLI,R.VALLIYAMMAL,INC,UDF,275,2015
Idukki,Grama Panchayat,G06011,Chinnakanal,12,VENADU,SEKAR RAM,CPI,LDF,305,2015
Idukki,Grama Panchayat,G06013,Devikulam,7,ARIVIKKAD,SUBRAMANYAN APPAVU,CPI(M),LDF,354,2015
Idukki,Grama Panchayat,G06013,Devikulam,1,BENMORE,BHAGYALAKSHMI,AIADMK,OTH,326,2015
Idukki,Grama Panchayat,G06013,Devikulam,3,CHENDUVARA,PAVANRAJ.A.P,INC,UDF,310,2015
Idukki,Grama Panchayat,G06013,Devikulam,4,CHITTIVARA,VIJAYALAKSHMI,CPI,LDF,307,2015
Idukki,Grama Panchayat,G06013,Devikulam,13,CHOKKANAD,SURESH,CPI,LDF,365,2015
Idukki,Grama Panchayat,G06013,Devikulam,12,DEVIKULAM,SUREH KUMAR,CPI(M),LDF,349,2015
Idukki,Grama Panchayat,G06013,Devikulam,15,GRAHAMSLAND,THANKA PANDIYAMMAL,CPI,LDF,282,2015
Idukki,Grama Panchayat,G06013,Devikulam,9,GUDARVILA,DEGLUS.M,INC,UDF,318,2015
Idukki,Grama Panchayat,G06013,Devikulam,18,GUNDUMALA,KALARANI AMUTHARANI,CPI(M),LDF,207,2015
Idukki,Grama Panchayat,G06013,Devikulam,2,KUNDALA,KUMAR.M,CPI,LDF,410,2015
Idukki,Grama Panchayat,G06013,Devikulam,11,LOCKHART,LAKSHMI MUTHU,CPI,LDF,422,2015
Idukki,Grama Panchayat,G06013,Devikulam,10,MANILA,GAURY RAMESH,CPI(M),LDF,379,2015
Idukki,Grama Panchayat,G06013,Devikulam,16,MATTUPPETTY,PAZHANITHAI,INC,UDF,415,2015
Idukki,Grama Panchayat,G06013,Devikulam,14,NETTIKKUDY,GOVINTHA SAMI,CPI,LDF,395,2015
Idukki,Grama Panchayat,G06013,Devikulam,8,SILENTVALLEY,RUGMINI,INC,UDF,400,2015
Idukki,Grama Panchayat,G06013,Devikulam,5,THEERTHAMALA,VANITHA,INC,UDF,355,2015
Idukki,Grama Panchayat,G06013,Devikulam,17,THENMALA,NADARAJAN.V,INC,UDF,232,2015
Idukki,Grama Panchayat,G06013,Devikulam,6,YELLAPPATTY,SENTHILKUMAR,INC,UDF,507,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,13,AMBALAPPADYKUDY,LAKSHMI,INC,UDF,70,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,11,ANDAVANKUDY,SHANMUKHAM,BJP,BJP+,65,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,4,KEEZHPATHAMKUDY,ESWARI,INC,UDF,37,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,1,MEENKUTHIKUDY,AMBIKA,INC,UDF,40,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,3,MULAKUTHARAKUDY,GOVINDARAJ,CPI(M),LDF,68,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,2,NENMANALKUDY,BALAN,CPI(M),LDF,34,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,6,NOORADIKUDY,JAYALAKSHMI	,CPI(M),LDF,64,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,7,PARAPPAYARKUDY,MANIKALA,BJP,BJP+,65,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,5,SHEDDKUDY,MADHAVAN,CPI(M),LDF,79,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,12,SOCIETYKUDY,AMARAVATHI,INC,UDF,54,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,10,THEKKE IDDALIPPARAKUDY,RADHA,INC,UDF,38,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,8,THENPARAKUDY,KASHIRAMAN,BJP,BJP+,39,2015
Idukki,Grama Panchayat,G06014,Edamalakudy,9,VADAKKE IDDALIPPARAKUDY,SHIKAPPAN,CPI(M),LDF,42,2015
Idukki,Grama Panchayat,G06044,Edavetty,13,EDAVETTY NORTH,BEEVI SALIM,IUML,UDF,491,2015
Idukki,Grama Panchayat,G06044,Edavetty,12,EDAVETTY SOUTH,SEENA NAVAS,CPI(M),LDF,329,2015
Idukki,Grama Panchayat,G06044,Edavetty,1,EDAVETTYCHIRA,T M MUJEEB,CPI(M),LDF,494,2015
Idukki,Grama Panchayat,G06044,Edavetty,4,GANDHINAGAR,JASEELA LATHEEF,INC,UDF,384,2015
Idukki,Grama Panchayat,G06044,Edavetty,7,KALLANICKAL,SHEELA DEEPU,CPI(M),LDF,368,2015
Idukki,Grama Panchayat,G06044,Edavetty,10,KEERIKODE,PRAKASH P,CPI(M),LDF,223,2015
