District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,3,EZHIPRAM,K K RAJU,CPI(M),LDF,658,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,7,KADAMATTOM,SAJI POOTHOTTIL,CPI(M),LDF,600,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,4,KADAYIRUPPU,KURIAN KUZHIVELIL(KUNJUMON),IND,OTH,442,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,14,MANAYATHUPEEDIKA,MINI SUNNY,IND(LDF),LDF,392,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,5,MANGATTOOR,JOSE V JACOB,CPI(M),LDF,583,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,12,PANCODE EAST,USHA KUNJUMON,CPI(M),LDF,365,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,13,PANCODE WEST,N K VARGHESE,CPI,LDF,394,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,10,PAREPPEDIKA,VALSA SABU,INC,UDF,371,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,1,PAZHAMTHOTTAM,SHEEJA ASOKAN,CPI(M),LDF,460,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,8,PERINGOLE,ELSI BABU,IND(LDF),LDF,327,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,11,PULINCHODE,PADMAVATHI TEACHER,IND(LDF),LDF,412,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,9,THONDIPPEDIKA,JISHA AJI,IND(LDF),LDF,511,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,6,THONNIKKA,SHINY BIJU,INC,UDF,444,2015
Ernakulam,Grama Panchayat,G07052,Aikkaranadu,2,VALAMBOOR,M A PAULOSE MUDAKKANTHALA,INC,UDF,443,2015
Ernakulam,Grama Panchayat,G07008,Alangad,8,ALANGAD,ELSA JACOB,IND,OTH,313,2015
Ernakulam,Grama Panchayat,G07008,Alangad,14,CHIRAYAM,RUBY JUSTIN,IND(LDF),LDF,600,2015
Ernakulam,Grama Panchayat,G07008,Alangad,5,IRAVIPURAM,P S JAGADEESAN,CPI(M),LDF,706,2015
Ernakulam,Grama Panchayat,G07008,Alangad,21,KARINGAMTHURUHTU NORTH,NISHAD DEVASSY,INC,UDF,571,2015
Ernakulam,Grama Panchayat,G07008,Alangad,20,KARINGAMTHURUTHU SOUTH,SMITHA JITHESH,CPI(M),LDF,477,2015
Ernakulam,Grama Panchayat,G07008,Alangad,11,KODUVAZHANGA,K N UNNI,CPI(M),LDF,446,2015
Ernakulam,Grama Panchayat,G07008,Alangad,4,KODUVAZHANGA NORTH,JOSE GOPURATHINGAL,INC,UDF,638,2015
Ernakulam,Grama Panchayat,G07008,Alangad,18,KONGORPILLY WEST,SHEEJA MICHEAL,INC,UDF,528,2015
Ernakulam,Grama Panchayat,G07008,Alangad,15,KONGORPPILLY EAST,RADHAMANI JAYASINGH,CPI(M),LDF,609,2015
Ernakulam,Grama Panchayat,G07008,Alangad,6,KOTTAPURAM,GEETHA THANKAPPAN,CPI(M),LDF,468,2015
Ernakulam,Grama Panchayat,G07008,Alangad,10,KUNNEL,AMBIKA RAMESH,CPI(M),LDF,698,2015
Ernakulam,Grama Panchayat,G07008,Alangad,7,MALIKAM PEEDIKA,MINI BABU,INC,UDF,557,2015
Ernakulam,Grama Panchayat,G07008,Alangad,13,METHANAM,VARGHESE KOLARIKKAL,INC,UDF,374,2015
Ernakulam,Grama Panchayat,G07008,Alangad,2,NEERICODE EAST,KANCHANA SOMAN,CPI,LDF,676,2015
Ernakulam,Grama Panchayat,G07008,Alangad,1,NEERICODE WEST,V.B JABBAR,INC,UDF,698,2015
Ernakulam,Grama Panchayat,G07008,Alangad,16,OLANAD,SEBASTIAN V J (JOSHY),INC,UDF,537,2015
Ernakulam,Grama Panchayat,G07008,Alangad,12,PANAYIKKULAM,V H SIRAJUDEEN ,CPI(M),LDF,555,2015
Ernakulam,Grama Panchayat,G07008,Alangad,3,PANCHAYAT HEAD QUARTERS,AJA SABU,IND(LDF),LDF,544,2015
Ernakulam,Grama Panchayat,G07008,Alangad,19,PAZHAMPILLY,JANCY DEVASSYKKUTTY,INC,UDF,670,2015
Ernakulam,Grama Panchayat,G07008,Alangad,9,THIRUVALLOOR,K K SURESH,BJP,BJP+,393,2015
Ernakulam,Grama Panchayat,G07008,Alangad,17,TIRUMUPPAM,ANNA ANSILY,IND(LDF),LDF,859,2015
Ernakulam,Grama Panchayat,G07046,Amballur,2,AKKAPPANAM,JALAJA MOHANAN,CPI(M),LDF,451,2015
Ernakulam,Grama Panchayat,G07046,Amballur,3,AMBALLOOR EAST,LEKHA SHAJI,CPI(M),LDF,515,2015
Ernakulam,Grama Panchayat,G07046,Amballur,1,AMBALLOOR WEST,BEENA MUKUNDAN,IND(LDF),LDF,522,2015
Ernakulam,Grama Panchayat,G07046,Amballur,4,AMBALOOR,SHEELA SATHYAN,CPI(M),LDF,442,2015
Ernakulam,Grama Panchayat,G07046,Amballur,10,ARAYANKAAVU,M.K RADHAKRISHNAN,CPI(M),LDF,483,2015
Ernakulam,Grama Panchayat,G07046,Amballur,15,KANJIRAMATTOM,SALIM,INC,UDF,671,2015
Ernakulam,Grama Panchayat,G07046,Amballur,5,KANJIRAMATTOM CENTER,SHAIJA ASHARAF,IND(LDF),LDF,563,2015
Ernakulam,Grama Panchayat,G07046,Amballur,16,KANJIRAMATTOM WEST,K.S RADHAKRISHNAN,INC,UDF,344,2015
Ernakulam,Grama Panchayat,G07046,Amballur,11,KEECHERY,BIJOY KUMAR P.R(SABU PUTHENPURAYIL),CPI(M),LDF,422,2015
Ernakulam,Grama Panchayat,G07046,Amballur,7,KULAYATTIKKARA,M.B SHANTHAKUMAR,KC(B),LDF,473,2015
Ernakulam,Grama Panchayat,G07046,Amballur,6,KULAYATTIKKARA NORTH,T.P SATHEESHAN,CPI(M),LDF,317,2015
Ernakulam,Grama Panchayat,G07046,Amballur,13,MAMBUZHA,JALAJA MANIYAPPAN,INC,UDF,492,2015
Ernakulam,Grama Panchayat,G07046,Amballur,12,PLAPPILLY,THEKKEPURAKKAL VEETTIL JISHA RAMESH,CPI(M),LDF,434,2015
Ernakulam,Grama Panchayat,G07046,Amballur,14,PUTHUVASSERY,SAIBA THAJUDHEEN,INC,UDF,579,2015
Ernakulam,Grama Panchayat,G07046,Amballur,8,THOTTARA,K.J JOSEPH,INC,UDF,424,2015
Ernakulam,Grama Panchayat,G07046,Amballur,9,THOTTARA EAST,P.K MANOJKUMAR,CPI(M),LDF,516,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,3,ARAKKUZHA,SANDRA KENNEDY,IND(LDF),LDF,552,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,10,AROOR,MERCY JOSE  THACHAM MANIYATTU,IND(LDF),LDF,379,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,4,KEEZHMADANGU,SABU POTHOOR,INC,UDF,359,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,11,MEENKUNNAM,RANI JAISON,KCM,UDF,303,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,5,MEMADANGU,CELINE CHERIAN,IND(LDF),LDF,341,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,8,MULLAPPADI,NIMMY POLACHAN,KCM,UDF,402,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,13,MUTHUKALLU,ANEESH KARUNAKARAN,IND(LDF),LDF,309,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,7,PANDAPPILLY EAST,GEORGE C H CHELAPPUZHAYIL,IND(LDF),LDF,324,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,9,PANDAPPILLY WEST,SIBY KURIACKO,IND(LDF),LDF,405,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,2,PERIMBALLOOR EAST,JESSY SABU,INC,UDF,393,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,1,PERINGAZHA,OMANA MOHANAN,IND,OTH,331,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,12,PERUMBALLOOR WEST,MINI RAJU,KCM,UDF,379,2015
Ernakulam,Grama Panchayat,G07078,Arakkuzha,6,THOTTAKKARA,KURIAN(VALLAMATTAM KUNJU),KCM,UDF,462,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,3,ASAMANNOOR,P O JAMES,CPI(M),LDF,537,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,1,CHERUKUNNAM,SUNIL,INC,UDF,373,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,8,EKKUNNAM,LAILA ABDUL KHADAR,CPI(M),LDF,450,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,11,KALLIL,BINDU PRASANNAN,CPI(M),LDF,415,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,9,METHALA NORTH,BINDU BESSY,INC,UDF,471,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,10,METHALA SOUTH,ANITHA JAYAN,CPI(M),LDF,476,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,6,NOOLELY NORTH,N M  SALIM,INC,UDF,463,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,7,NOOLELY SOUTH,SAJEESH E. N.,CPI(M),LDF,371,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,14,ODAKKALI,HANITH (HANI),INC,UDF,451,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,5,PANICHAYAM,N P SIVAN,INC,UDF,477,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,4,PAYYAL,LALITHAKUMARI MOHANAN,CPI(M),LDF,486,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,13,POOMALA,BINDU NARAYANAN,INC,UDF,360,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,2,PUNNAYAM,CHITHRA CHANDRAN,IND,OTH,389,2015
Ernakulam,Grama Panchayat,G07018,Asamannur,12,THALAPUNCHA,AMBILY RAJAN,INC,UDF,464,2015
Ernakulam,Grama Panchayat,G07077,Avoly,11,ANIKKAD,SHIMMY THOMSAN,KCM,UDF,445,2015
Ernakulam,Grama Panchayat,G07077,Avoly,13,COMPANYPPADY,LINCY TITAS,INC,UDF,308,2015
Ernakulam,Grama Panchayat,G07077,Avoly,7,KAVANA,JORDY VARGHEESE,IND,OTH,484,2015
Ernakulam,Grama Panchayat,G07077,Avoly,8,KAVANA GOVT L P S, MANOJ (MANOJ P.T ),IND(LDF),LDF,405,2015
Ernakulam,Grama Panchayat,G07077,Avoly,1,KIZHAKKEKARA,MUHAMMAD AYUBKHAN (AYUB PALLIKOODATHIL ),CPI(M),LDF,426,2015
Ernakulam,Grama Panchayat,G07077,Avoly,3,KOTTAPURAM,BALKKIS RASHEED  (BALKKIS RASHEED TEACHER ),IND(LDF),LDF,606,2015
Ernakulam,Grama Panchayat,G07077,Avoly,9,NADUKKARA,JOJI JOSE KURUPPUMADOM,INC,UDF,570,2015
