District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Thrissur,Grama Panchayat,G08031,Adat ,18,ADAT,P J DEVASSY(SUNNY),INC,UDF,583,2015
Thrissur,Grama Panchayat,G08031,Adat ,8,AMBAKKAD,WILSON T D,INC,UDF,575,2015
Thrissur,Grama Panchayat,G08031,Adat ,17,AMBALAMKAVU,P RAJESWARAN,INC,UDF,425,2015
Thrissur,Grama Panchayat,G08031,Adat ,3,CHITTILAPPILLY GROUND,RAJANI TEACHER,CPI(M),LDF,520,2015
Thrissur,Grama Panchayat,G08031,Adat ,2,CHITTILAPPILLY KIZHAKKUMURI,K P SUNIL KUMAR,INC,UDF,559,2015
Thrissur,Grama Panchayat,G08031,Adat ,1,CHITTILAPPILLY PADINJATTUMURI,BABY STEPHAN,IND(LDF),LDF,461,2015
Thrissur,Grama Panchayat,G08031,Adat ,5,CHOORAKKATTUKKARA,C R RADHAKRISHNAN,INC,UDF,424,2015
Thrissur,Grama Panchayat,G08031,Adat ,4,KANNIKULAM,LIJI PRATHAPAN,CPI(M),LDF,440,2015
Thrissur,Grama Panchayat,G08031,Adat ,15,MANIDAM,V O CHUMMAR,INC,UDF,404,2015
Thrissur,Grama Panchayat,G08031,Adat ,13,MURPPARA,PUSHPALATHA RADHAKRISHNAN,CPI(M),LDF,518,2015
Thrissur,Grama Panchayat,G08031,Adat ,7,MUTHUVARA,T R JAYACHANDRAN (JAYAN),INC,UDF,467,2015
Thrissur,Grama Panchayat,G08031,Adat ,12,PARIKKAD,VASANTHI DAMODARAN,INC,UDF,450,2015
Thrissur,Grama Panchayat,G08031,Adat ,11,PURANATTUKKARA,DOJU CHERUVATHOOR ,IND,OTH,399,2015
Thrissur,Grama Panchayat,G08031,Adat ,9,PUTHISSERY,USHA SREENIVASAN,CPI,LDF,452,2015
Thrissur,Grama Panchayat,G08031,Adat ,6,RAMANCHIRA,MAYA MANOJ,INC,UDF,387,2015
Thrissur,Grama Panchayat,G08031,Adat ,14,SANSKRIT COLLEGE,SHAILAJA SREENIVASAN,INC,UDF,515,2015
Thrissur,Grama Panchayat,G08031,Adat ,16,UDALAKKAVU,MURALI ADAT,CPI(M),LDF,631,2015
Thrissur,Grama Panchayat,G08031,Adat ,10,VILANGAN,SOBHA JAYADASAN,INC,UDF,546,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,17,ALAGAPPANAGAR,NANDHINI DASAN,INC,UDF,481,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,1,AMBALLUR,K RAJESWARI,INC,UDF,519,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,16,CHUNGAM,BAIJU.M.K,CPI(M),LDF,501,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,11,KALAKKALLU,P.R.RAJAN,CPI,LDF,430,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,5,MANNAMPETTA,BHAGYAVATHY CHANDRAN,INC,UDF,718,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,7,PACHALIPPURAM,A.S.JIJI,CPI(M),LDF,724,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,8,PALAKKUNNU,P.K. FRANCIS,CPI(M),LDF,376,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,9,PAYYAKKARA,TESSY WILSON,CPI(M),LDF,632,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,12,POOKKODU,P.K.VINOD,CPI(M),LDF,626,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,13,POOKKODU WEST,RAJI RAJAN,CPI,LDF,564,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,14,THEKKEKKARA,VALSALA THANKAPPAN,CPI,LDF,579,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,15,VALANJOOPPADAM,PRINCY DAVIS,INC,UDF,418,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,10,VARAKKARA,SELEENA VARGHESE,INC,UDF,831,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,6,VATTANATHRA,PRADEEP KARIYAT,INC,UDF,374,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,4,VENDOR CENTRE,SANAL MANJALY,INC,UDF,438,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,3,VENDOR NORTH,JOSY JOHNY,INC,UDF,504,2015
Thrissur,Grama Panchayat,G08062,Alagappanagar  ,2,VENDOR WEST,VANAJA VIJAYAN,INC,UDF,494,2015
