District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Palakkad,Grama Panchayat,G09040,Agali,1,CHINDAKKI,ബിന്ദു,CPI(M),LDF,678,2020
Palakkad,Grama Panchayat,G09040,Agali,2,CHEMMANNOOR,ജോസഫ് പി ഒ (ജോസ് പനയ്ക്കാമറ്റം),CPI(M),LDF,368,2020
Palakkad,Grama Panchayat,G09040,Agali,3,PAKKULAM,ബിന്ദുമോള്‍,INC,UDF,287,2020
Palakkad,Grama Panchayat,G09040,Agali,4,THAVALAM,എസ്. അല്ലന്‍,INC,UDF,434,2020
Palakkad,Grama Panchayat,G09040,Agali,5,PARAPPANTHARA,ശെല്‍വരാജ്,CPI,LDF,277,2020
Palakkad,Grama Panchayat,G09040,Agali,6,PATTIMAALAM,പരമേശ്വരന്‍,CPI(M),LDF,363,2020
Palakkad,Grama Panchayat,G09040,Agali,7,KOTTATHARA,മുഹമ്മദ് നാസര്‍,INC,UDF,332,2020
Palakkad,Grama Panchayat,G09040,Agali,8,BHOOTHIVAZHI,മിനി ജി കുറുപ്പ്,BJP,NDA,454,2020
Palakkad,Grama Panchayat,G09040,Agali,9,AGALI,മഹേശ്വരി,CPI(M),LDF,536,2020
Palakkad,Grama Panchayat,G09040,Agali,10,GOOLIKKADAVU,കണ്ണമ്മ,CPI(M),LDF,547,2020
Palakkad,Grama Panchayat,G09040,Agali,11,KAVUNDIKKAL,സെന്തില്‍കുമാര്‍,BJP,NDA,444,2020
Palakkad,Grama Panchayat,G09040,Agali,12,NELLIPPATHY,ബെന്നി കെ റ്റി,INC,UDF,410,2020
Palakkad,Grama Panchayat,G09040,Agali,13,CHITTOOR,നിത്യ ഷിജു,CPI(M),LDF,518,2020
Palakkad,Grama Panchayat,G09040,Agali,14,KAARARA,ഗിരിജ,CPI(M),LDF,534,2020
Palakkad,Grama Panchayat,G09040,Agali,15,GUDDAYOOR,പ്രീത,CPI(M),LDF,572,2020
Palakkad,Grama Panchayat,G09040,Agali,16,KANDIYOOR,സുനില്‍ ജി പുത്തൂര്‍,INC,UDF,423,2020
Palakkad,Grama Panchayat,G09040,Agali,17,JELLIPPARA,ജെയ്സണ്‍ ജെയിംസ്,CPI(M),LDF,438,2020
Palakkad,Grama Panchayat,G09040,Agali,18,OMMALA,ശ്രീലക്ഷ്മി ശ്രീകുമാര്‍,CPI(M),LDF,608,2020
Palakkad,Grama Panchayat,G09040,Agali,19,KALLAMALA,അംബിക,CPI(M),LDF,538,2020
Palakkad,Grama Panchayat,G09040,Agali,20,CHINNAPARAMB,സുമിത.എസ്,CPI(M),LDF,275,2020
Palakkad,Grama Panchayat,G09040,Agali,21,KALKKANDI,കൃഷ്ണകുമാര്‍,CPI(M),LDF,510,2020
Palakkad,Grama Panchayat,G09078,Akathethara,1,DHONI,മോഹനന്‍,CPI(M),LDF,445,2020
Palakkad,Grama Panchayat,G09078,Akathethara,2,ENGINEERING COLLEGE,രേഖ ശിവദാസ്,CPI(M),LDF,432,2020
Palakkad,Grama Panchayat,G09078,Akathethara,3,VADAKKETHARA,സുരേഷ്​​കുമാര്‍,BJP,NDA,526,2020
Palakkad,Grama Panchayat,G09078,Akathethara,4,THEKKETHARA,ഹേമലത ബാബുരാജ്,CPI(M),LDF,469,2020
Palakkad,Grama Panchayat,G09078,Akathethara,5,ITHINGAPARAMBE,ഐശ്വര്യ എസ്,BJP,NDA,601,2020
Palakkad,Grama Panchayat,G09078,Akathethara,6,NADAKKAVU,ഗീത,BJP,NDA,452,2020
Palakkad,Grama Panchayat,G09078,Akathethara,7,KORATHODI,സുനിത അനന്തകൃഷ്ണന്‍,CPI(M),LDF,511,2020
Palakkad,Grama Panchayat,G09078,Akathethara,8,AANDIMADAM,മുരളീധരന്‍,CPI(M),LDF,594,2020
Palakkad,Grama Panchayat,G09078,Akathethara,9,KUNNAMPARA,സുധീര്‍ കെ എ,BJP,NDA,561,2020
Palakkad,Grama Panchayat,G09078,Akathethara,10,KALLEKULANGARA,ടി.പി.ശ്രീദേവി,BJP,NDA,421,2020
Palakkad,Grama Panchayat,G09078,Akathethara,11,HEMAMBIKA SAMSKRITHA SCHOOL,ജി സുജിത്ത്,BJP,NDA,493,2020
Palakkad,Grama Panchayat,G09078,Akathethara,12,KUNNUKKAD,അജയ് കെ കെ,BJP,NDA,560,2020
Palakkad,Grama Panchayat,G09078,Akathethara,13,KONGANPPADAM,കോമളം മായപ്പന്‍,CPI,LDF,415,2020
Palakkad,Grama Panchayat,G09078,Akathethara,14,PUNNAKKULAM,മഞ്ജു മുരളി,CPI(M),LDF,361,2020
Palakkad,Grama Panchayat,G09078,Akathethara,15,RAILWAY COLONY,സ്മിതം ആല്‍ബിന്‍,CPI(M),LDF,100,2020
Palakkad,Grama Panchayat,G09078,Akathethara,16,KAKKANNI,കെ ജി ലളിതാംബിക,CPI(M),LDF,311,2020
Palakkad,Grama Panchayat,G09078,Akathethara,17,UMMINI,നസീമ കെ കെ,CPI(M),LDF,497,2020
Palakkad,Grama Panchayat,G09032,Alanallur,1,CHALAVA,നെയ്സി  ബെന്നി,CPI(M),LDF,661,2020
Palakkad,Grama Panchayat,G09032,Alanallur,2,UPPUKULAM,ബഷീര്‍ പടുകുണ്ടില്‍,IUML,UDF,810,2020
Palakkad,Grama Panchayat,G09032,Alanallur,3,PADIKKAPPADAM,അബ്ദുള്‍ അലി,IUML,UDF,883,2020
Palakkad,Grama Panchayat,G09032,Alanallur,4,MUNDAKKUNNU,സജ്ന സത്താര്‍,IUML,UDF,866,2020
Palakkad,Grama Panchayat,G09032,Alanallur,5,KAIRALI,അനില്‍കുമാര്‍ .എ,CPI(M),LDF,819,2020
Palakkad,Grama Panchayat,G09032,Alanallur,6,PALLIKUNNU,അബൂബക്കര്‍ എം ( മേലേകളത്തില്‍ ബക്കര്‍ ),IUML,UDF,995,2020
Palakkad,Grama Panchayat,G09032,Alanallur,7,MALIKKUNNU,മുള്ളത്ത് ലത,INC,UDF,840,2020
Palakkad,Grama Panchayat,G09032,Alanallur,8,PERIMBADARI,അശ്വതി പി,IND,OTH,793,2020
Palakkad,Grama Panchayat,G09032,Alanallur,9,KATTUKULAM,റംലത്ത് കെ,IUML,UDF,749,2020
Palakkad,Grama Panchayat,G09032,Alanallur,10,PAKKATHKULAMBU,ഹംസ കെ,IUML,UDF,612,2020
Palakkad,Grama Panchayat,G09032,Alanallur,11,KANNAMKUNDU,അയിഷാബി ആറാട്ടുതൊടി,INC,UDF,756,2020
Palakkad,Grama Panchayat,G09032,Alanallur,12,KALANGOTTIRI,ദിവ്യ,CPI(M),LDF,555,2020
Palakkad,Grama Panchayat,G09032,Alanallur,13,ALANALLUR TOWN,മുസ്തഫ പി,CPI(M),LDF,771,2020
Palakkad,Grama Panchayat,G09032,Alanallur,14,VAZHANGALLY,അജിത.കെ,INC,UDF,640,2020
