District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,1,VALIYAPARAMBA,ജിഷ ടീച്ചർ,INC,UDF,823,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,2,PUKAYUR,മുഹമ്മദ് ജാബിര്‍ ചുക്കാന്‍,IUML,UDF,720,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,3,KOTTAMCHAL,ഇബ്രാഹിം മൂഴിക്കല്‍,IND,OTH,661,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,4,PUTHIYATHPURAYA,അരിക്കാടന്‍ ഷംസുദ്ദീന്‍,IUML,UDF,734,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,5,PALAMADATHIL CHINA,ലൈല പുലൂണി,IUML,UDF,742,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,6,CHEPPIYALAM,എം.കെ കുഞ്ഞിമൊയ്തീന്‍കുട്ടി മാസ്റ്റർ,IUML,UDF,717,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,7,KUNNUMPURAM,ഹനീഫ(കുഞ്ഞാപ്പു),INC,UDF,637,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,8,KAKKADAMPURAM,ആച്ചുമ്മക്കുട്ടി കൊടുവാപറമ്പന്‍ ചേരത്ത്,IUML,UDF,657,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,9,KODAKKALLU,പ്രതീപ് കുമാർ,IUML,UDF,709,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,10,CHENDAPURAYA EAST,വിപിന അഖിലേഷ്,INC,UDF,397,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,11,AR NAGAR BAZAR,ശ്രീജ സുനില്‍,INC,UDF,402,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,12,CHENDAPURAYA WEST,സൈതലവി കോയ ഇരുകുളങ്ങര,IND,OTH,595,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,13,ULLATTUPARAMBA,മുഹമ്മദ് പുതുക്കുടി,IND,OTH,519,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,14,V K PADI,ലിയാഖത്ത് അലി  കാവുങ്ങല്‍,IUML,UDF,494,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,15,IRUMBUCHOLA,മൈമൂനത്ത് ഓവുങ്ങല്‍ ചക്കുംകുളത്ത്,IUML,UDF,618,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,16,KOLAPPURAM NORTH,ഷൈലജ പുനത്തില്‍,INC,UDF,411,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,17,KOLAPPURAM CENTRE,സജ്ന  അന്‍വര്‍,INC,UDF,465,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,18,KOLAPPURAM SOUTH,ബേബി,INC,UDF,698,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,19,MAMBURAM,ജുസൈറ മന്‍സൂര്‍,IUML,UDF,636,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,20,VETTATHUBAZAR,അബ്ദുല്‍ റഷീദ് കൊണ്ടാണത്ത്,IUML,UDF,1094,2020
Malappuram,Grama Panchayat,G10072,Abdurehman Nagar,21,PALANTHARA,നുസ്റത്ത് കുപ്പേരി,IUML,UDF,594,2020
Malappuram,Grama Panchayat,G10096,Alamkode,1,KALACHAL,മുഹമ്മദ് അഷറഫ്,CPI(M),LDF,745,2020
