District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Wayanad,Grama Panchayat,G12010,Ambalavayal,1,KARACHAL,പി. ടി. കുര്യാച്ചന്‍,CPI(M),LDF,640,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,2,KUMBALERY,ഷൈനി ഉതുപ്പ്,CPI(M),LDF,621,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,3,AAYIRAMKOLLI,ഷീജ ബാബു,CPI(M),LDF,530,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,4,KUPPAMUDI,അംബിക കുമാരന്‍,CPI(M),LDF,620,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,5,AMBALAVAYAL EAST,കെ. ഷമീര്‍,CPI(M),LDF,686,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,6,AMBALAVAYAL WEST,ജെസ്സി ജോര്‍ജ്ജ്,CPI(M),LDF,643,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,7,NEERCHAL,ഷിഫാനത്ത് ടീച്ചര്‍,IUML,UDF,786,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,8,ANDOOR,എന്‍. സി. കൃഷ്ണകുമാര്‍,INC,UDF,577,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,9,PAMBALA,വി. വി. രാജന്‍,CPI(M),LDF,677,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,10,KOTOOR,ഹഫ്സത്ത്,CPI(M),LDF,616,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,11,KAMBALAKOLLY,സി. ജെ. സബാസ്റ്റ്യന്‍,INC,UDF,618,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,12,THOMATTUCHAL,എം. യു. ജോര്‍ജ്,INC,UDF,489,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,13,CHEENAPPULLU,ഉമേഷ്.കെ.യു,INC,UDF,496,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,14,PERUMBADIKUNNU,എ.ആര്‍. മോഹനന്‍,INC,UDF,561,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,15,PUTTAD,സെനു (കുട്ടായി),CPI(M),LDF,606,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,16,NELLARACHAL,ആമിന.പി.ടി,INC,UDF,503,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,17,CHEENGAVALLAM,രാജി വിജയന്‍,CPI(M),LDF,461,2020
Wayanad,Grama Panchayat,G12010,Ambalavayal,18,MANJAPPARA,ജയശ്രീ എന്‍.കെ,INC,UDF,621,2020
