District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Kannur,Grama Panchayat,G13017,Alakode,1,CHITTADI,ജയ മുരളീധരന്‍,CPI(M),LDF,632,2020
Kannur,Grama Panchayat,G13017,Alakode,2,THERTHALLY,ജോസ് വട്ടമല,INC,UDF,473,2020
Kannur,Grama Panchayat,G13017,Alakode,3,RAYAROME,ജോണ്‍സണ്‍,INC,UDF,448,2020
Kannur,Grama Panchayat,G13017,Alakode,4,MOONNAMKUNNU,ആയിഷ പി സി,IUML,UDF,649,2020
Kannur,Grama Panchayat,G13017,Alakode,5,PARAPPA,ഷൈലകുമാരി (ഓമന),IND,OTH,551,2020
Kannur,Grama Panchayat,G13017,Alakode,6,KUTTAPARAMBA,കെ പി സാബു മാസ്റ്റർ,CPI(M),LDF,477,2020
Kannur,Grama Panchayat,G13017,Alakode,7,ALAKODE,നിഷമോള്‍ പി ആര്‍,CPI(M),LDF,443,2020
Kannur,Grama Panchayat,G13017,Alakode,8,OTTATHAI,കവിത ഗോവിന്ദൻ,INC,UDF,427,2020
Kannur,Grama Panchayat,G13017,Alakode,9,KAPPIMALA,വത്സല പ്രകാശ്,IND,OTH,406,2020
Kannur,Grama Panchayat,G13017,Alakode,10,NELLIKUNNU,മാത്യു പുതിയേടത്ത്,INC,UDF,510,2020
Kannur,Grama Panchayat,G13017,Alakode,11,KAVUMKUDI,നിഷ വിനു,INC,UDF,627,2020
Kannur,Grama Panchayat,G13017,Alakode,12,KOOLAMBI,രജിത സി എം,CPI(M),LDF,578,2020
Kannur,Grama Panchayat,G13017,Alakode,13,NARIYAMPARA,സാലി ജെയിംസ് വാണിശ്ശേരിയിൽ,IND,OTH,520,2020
Kannur,Grama Panchayat,G13017,Alakode,14,KOTTAYAD,ആലീസ് ജോസഫ്,KC(M),LDF,530,2020
Kannur,Grama Panchayat,G13017,Alakode,15,NELLIPARA,സോണിയ നൈജു,INC,UDF,639,2020
Kannur,Grama Panchayat,G13017,Alakode,16,ARANGAM,സതി സജി,CPI(M),LDF,626,2020
Kannur,Grama Panchayat,G13017,Alakode,17,NEDUVODE,ഖലീല്‍ റഹ്മാന്‍ എം എ,IUML,UDF,578,2020
