District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Kasaragod,Grama Panchayat,G14023,Ajanur,1,RAVANESHWARAM,മിനി പി,CPI,LDF,1032,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,2,RAMAGIRI,കെ സബീഷ്,CPI(M),LDF,1541,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,3,VELASHWARAM,ശോഭ ടി,CPI(M),LDF,1037,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,4,MADIYAN,കുഞ്ഞാമിന സി,IUML,UDF,981,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,5,MANIKKOTH,പി പി ഷക്കീല ബദ്റുദ്ദീന്‍,IUML,UDF,595,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,6,ADOT,എം ബാലകൃഷ്ണന്‍,CPI(M),LDF,1006,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,7,BELLIKOTH,കെ കൃഷ്ണന്‍ മാസ്റ്റര്‍,CPI(M),LDF,748,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,8,KATTUKULANGARA,സിന്ധു ബാബു,INC,UDF,783,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,9,MAVUNGAL,മധു എം വി,BJP,NDA,570,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,10,RAMNAGAR,ശ്രീദേവി.കെ.ആര്‍,BJP,NDA,630,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,11,PALLOT,സുനിത പി,BJP,NDA,572,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,12,KIZHAKKUMKARA,മീന കെ,CPI(M),LDF,734,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,13,THULICHERY,കെ വി ലക്ഷ്മി,CPI(M),LDF,815,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,14,ATHINHAL,ഷീബ ഉമ്മര്‍,IUML,UDF,596,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,15,ITTAMMAL,ഇട്ടമ്മല്‍ അശോകന്‍,CPI(M),LDF,878,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,16,KOLAVAYAL,ഹംസ സി എച്ച്,IUML,UDF,891,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,17,AJANUR KADAPPURAM,കെ രവീന്ദ്രന്‍,INC,UDF,568,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,18,MUTTUMTHALA,ഇബ്റാഹിം ആവിക്കൽ,IUML,UDF,822,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,19,MATTUMMAL,ഷിജു മാഷ്,CPI(M),LDF,782,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,20,MALLIKAMAD,സതി കെ,BJP,NDA,640,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,21,CHITTARI,ഇര്‍ഷാദ് സി കെ,IUML,UDF,860,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,22,BARIKKAD,ഹാജിറ അബ്ദുള്‍ സലാം,IUML,UDF,1055,2020
Kasaragod,Grama Panchayat,G14023,Ajanur,23,MUKKOODU,എം ബാലകൃഷ്ണന്‍,CPI(M),LDF,1032,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,1,KILINGAR,സൌമ്യ മഹേശ്,BJP,NDA,751,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,2,NEERCHAL,ജയശ്രീ പി,INC,UDF,674,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,3,KUNTIKANA,അബ്ബാസ് എം,INC,UDF,457,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,4,KUNTALMOOLA,ഈശ്വര നായ്ക് കെ,BJP,NDA,395,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,5,PALLATHADKA,ജ്യോതി,CPI(M),LDF,390,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,6,KEDENJI,അനിത,BJP,NDA,560,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,7,KUDUPPAM KUZHI,ഹമീദ് പള്ളത്തടുക്ക,IUML,UDF,468,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,8,VIDYAGIRI,ശുഭലത,BJP,NDA,438,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,9,BADIADKA,ബാലകൃഷ്ണ ഷെട്ടി,BJP,NDA,511,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,10,BEEJANTHADKA,ശാന്ത ബി,IUML,UDF,494,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,11,CHEDEKKAL,സുബൈദ,IUML,UDF,591,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,12,PERADALA,റഷീദ ഹമീദ് കെടഞ്ചി,IND,OTH,521,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,13,KANYAPPADY,രവികുമാര്‍ റൈ പെര്‍ഡാല,CPI(M),LDF,362,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,14,PATTAJE,കെ എന്‍ കൃഷ്ണഭട്ട്,BJP,NDA,423,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,15,MANYA,അനസൂയ,INC,UDF,469,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,16,BIRMINADKA,ഫാത്തിമത്ത് സമീന,IUML,UDF,682,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,17,MALLADKA,സ്വപ്ന കെ,BJP,NDA,876,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,18,KUNJAR,അബ്ദുള്‍ റഹ്മാന്‍ സി.എച്,IUML,UDF,461,2020
Kasaragod,Grama Panchayat,G14016,Badiadka,19,BELA,ഡി ശങ്കര,BJP,NDA,691,2020
