District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Kollam,Grama Panchayat,G02069,Adichanalloor,1,THAZHUTHALA,രോഹിണി ദിലീപ്,BJP,NDA,561,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,2,PUNCHIRICHIRA,ബിജി രാജേന്ദ്രൻ,BJP,NDA,599,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,3,ALUMKADAVU,ബിന്ദു ധർമ്മൻ,INC,UDF,577,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,4,PLAKKAD,റ്റി. എസ്. ബിനോയ്,BJP,NDA,478,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,5,FARMERS BANK,മിനി സുഭാഷ്,BJP,NDA,498,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,6,KUNDUMON,നിസാർ ചിറക്കട,INC,UDF,631,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,7,ADICHANALLOOR,സുധാഭായി,CPI(M),LDF,511,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,8,VELICHIKALA,ഷാജി. എൽ,INC,UDF,497,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,9,KUMALLOOR,ഷീജ. ജെ. എൽ,INC,UDF,516,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,10,KATTACHAL,ലതിക ശിവദാസൻ,CPI,LDF,378,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,11,KAITHAKUZHI,എസ്. ശ്രീലാൽ,BJP,NDA,439,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,12,MYLAKKADU,രഘുനാഥൻ പിള്ള. ആർ,BJP,NDA,356,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,13,ETHIKKARA,ഷിജില സഫീർ,CPI(M),LDF,328,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,14,MANAMKUNNU,സന്ധ്യാകുമാരി,CPI,LDF,364,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,15,OTTAPLAMOODU,ജിനോക്കി എഡ്വേർഡ്,CPI,LDF,565,2025
Kollam,Grama Panchayat,G02069,Adichanalloor,16,KOTTIYAM SOUTH,തസ്ബീന ഷാജൻ,CPI,LDF,373,2025
