District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Kottayam,Grama Panchayat,G05043,Akalakkunnam,1,PATTYALIMATTAM,ഉഷ ഷാജി കുടുക്കക്കുന്നേൽ,CPI,LDF,415,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,2,NELLIKUNNU,ഗിരിജ രാജൻ,CPI(M),LDF,409,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,3,THACHILANGADU,എം എസ്‌  രാജു,CPI(M),LDF,271,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,4,KARIMBANI,സിജി സണ്ണി കൈപ്പത്തടത്തിൽ,INC,UDF,400,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,5,EDAMULA,ഡാന്‍റി എം ജോസ് വടക്കേപ്പാറക്കൽ,INC,UDF,352,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,6,POOVATHILAPPU,ഷിന്‍റോ മാത്യു,INC,UDF,473,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,7,KANJIRAMATTOM,ജോബി ഫ്രാന്‍സിസ് (ജോബി ജോമി കിഴക്കയിൽ),INC,UDF,388,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,8,KDAKUZHI,മിജോ ജോസഫ് (മിജോ ഡോണി കിഴക്കയിൽ),INC,UDF,422,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,9,CHENGALAM,റീനാ സാബു പൂവേലിൽ,INC,UDF,450,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,10,THEKKUMTHALA,സൗമ്യ കെ നായർ വള്ളിയാങ്കൽ,IND,OTH,310,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,11,MATTAPALLY,കെ  കെ രഘു  കാട്ടാർകുടിയിൽ,KC(M),LDF,298,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,12,MUZHOOR,സുനിൽ തോമസ്,INC,UDF,602,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,13,MANJAMATTOM,ജാന്‍സി ബാബു ഐക്കരമേപ്പുറത്ത്,KC(M),LDF,444,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,14,MATTAKKARA,സിന്ധു അനില്‍കുമാർ,IND,OTH,287,2025
Kottayam,Grama Panchayat,G05043,Akalakkunnam,15,MANAL,അഭിലാഷ് കെ തുണ്ടത്തിൽ,INC,UDF,350,2025
Kottayam,Grama Panchayat,G05016,Arpookkara,1,MANCHADIKKARI,ആന്റണി (ആന്റപ്പൻ അറയിൽ),BJP,NDA,610,2025
Kottayam,Grama Panchayat,G05016,Arpookkara,2,MANIYAPARAMBU,പി സി മനോജ് പൂന്നക്കുഴത്തിൽ,INC,UDF,434,2025
