District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Kozhikode,Grama Panchayat,G11043,Arikkulam,1,THIRUVANGAYOOR,എ. സി. ബാലകൃഷ്ണൻ,CPI(M),LDF,543,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,2,KARAYAD,കുഞ്ഞികേളപ്പൻ (ഒ. കെ. ബാബു),CPI(M),LDF,486,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,3,KARAYAD SOUTH,സീനത്ത് വടക്കയിൽ,IUML,UDF,459,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,4,EKKATTOOR,പി. പി. രമണി,CPI(M),LDF,558,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,5,THARAMMAL,കെ കെ കമല,CPI(M),LDF,613,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,6,VAKAMOLY,സ്റ്റിജ അനീഷ്,IND,OTH,518,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,7,OOTTERY,ഷൈമ  കെ  ടി,CPI(M),LDF,456,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,8,OORALLOOR EAST,ജസീന പി എം,IND,OTH,440,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,9,OORALLOOR WEST,പത്മിനി ടീച്ചർ. പി.  എം,CPI(M),LDF,387,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,10,ARIKKULAM EAST,അരവിന്ദൻ മേലമ്പത്ത്,INC,UDF,399,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,11,ARIKKULAM,നാരായണി. കെ. എം,INC,UDF,450,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,12,MAVATT,വി.വി.എം. ബഷീർ,IUML,UDF,482,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,13,ARIKKULAM NORTH,അനുജിത്ത്. എസ്,CPI(M),LDF,419,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,14,KANNAMBATH,ബിന്ദു. എൻ. പി,CPI(M),LDF,550,2025
Kozhikode,Grama Panchayat,G11043,Arikkulam,15,KURUDIVEEDU,സജിത എളമ്പിലാട്ട്,INC,UDF,567,2025
Kozhikode,Grama Panchayat,G11046,Atholi,1,MODAKKALLUR,ഗീത മപ്പുറത്ത്,CPI(M),LDF,626,2025
Kozhikode,Grama Panchayat,G11046,Atholi,2,K00MULLI,സബിത പവിത്രം,CPI(M),LDF,462,2025
Kozhikode,Grama Panchayat,G11046,Atholi,3,KOTHANGAL,ബിന്ദു പാലോട്ട്,INC,UDF,555,2025
Kozhikode,Grama Panchayat,G11046,Atholi,4,ADUVATTU,രാധിക എൻ എം,CPI(M),LDF,518,2025
Kozhikode,Grama Panchayat,G11046,Atholi,5,KANNIPPOYIL,ഷീജ ഷിബു,IND,OTH,476,2025
Kozhikode,Grama Panchayat,G11046,Atholi,6,KODASSERI,രമേശൻ മാസ്റ്റർ,CPI(M),LDF,474,2025
Kozhikode,Grama Panchayat,G11046,Atholi,7,POOKKODE,എം സുഗതകുമാരി,CPI(M),LDF,502,2025
Kozhikode,Grama Panchayat,G11046,Atholi,8,KOLAKKADU,എം ജയകൃഷ്ണൻ മാസ്റ്റർ,CPI(M),LDF,559,2025
Kozhikode,Grama Panchayat,G11046,Atholi,9,ATHOLIKKAVU,ബിനീഷ് കൊളക്കാട്,INC,UDF,549,2025
Kozhikode,Grama Panchayat,G11046,Atholi,10,ATHANI,അനില്‍ മാസ്റ്റർ,CPI(M),LDF,478,2025
Kozhikode,Grama Panchayat,G11046,Atholi,11,KONGANNUR EAST,തഫാന റിജാഷ്,CPI(M),LDF,536,2025
Kozhikode,Grama Panchayat,G11046,Atholi,12,PULLILAMALA,എ എം സരിത,IUML,UDF,511,2025
Kozhikode,Grama Panchayat,G11046,Atholi,13,KONGANNUR,അനിൽകുമാർ എടവലത്ത്,CPI(M),LDF,567,2025
Kozhikode,Grama Panchayat,G11046,Atholi,14,KUNIYIL KADAVU,ഷമീര്‍ കെ എ കെ,IUML,UDF,611,2025
Kozhikode,Grama Panchayat,G11046,Atholi,15,ATHOLI,ജിനിഷ ടി,CPI(M),LDF,481,2025
Kozhikode,Grama Panchayat,G11046,Atholi,16,KUDAKKALLU,കെ എം രാജൻ,INC,UDF,474,2025
Kozhikode,Grama Panchayat,G11046,Atholi,17,VELOOR WEST,വി എൻ ജയചന്ദ്രൻ,CPI(M),LDF,706,2025
Kozhikode,Grama Panchayat,G11046,Atholi,18,VELOOR,ഷീബ പിലാക്കാട്ട്,INC,UDF,576,2025
Kozhikode,Grama Panchayat,G11046,Atholi,19,THORAYI,കുഞ്ഞായന്‍ കുട്ടി,CPI(M),LDF,508,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,1,MIDIYERI,റെജിന മിടിയേരി,IUML,UDF,673,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,2,ANCHUKANDAM,സീനത്ത് ആക്കായിൽ,IUML,UDF,715,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,3,KEERIYANGADI,സി.കെ ജമീല,IUML,UDF,630,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,4,THANEERPANTHAL,സുലൈഖ ടീച്ചര്‍ ചാലിൽ,IUML,UDF,641,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,5,KADAMERI,പി കെ ബിന്ദു,CPI(M),LDF,513,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,6,KAMICHERI,ദിനേഷ് ചന്തംകണ്ടി,INC,UDF,590,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,7,MUKKADATHUM VAYAL,രൂപ കേളോത്ത്,INC,UDF,619,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,8,THAROPOYIL,കിളിയമ്മല്‍ കുഞ്ഞബ്ദുള്ള,IUML,UDF,663,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,9,PANTHAPPOYIL,വിനീത് കുമാര്‍ കെ,CPI(M),LDF,681,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,10,KUTTIYADI POYIL,കുനീമ്മല്‍ സന്തോഷ്,CPI(M),LDF,596,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,11,NALOM KOROL,കണ്ണോത്ത് ദാമോദരൻ,INC,UDF,349,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,12,KADAMERI WEST,അപർണ്ണ.കെ,INC,UDF,520,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,13,KEERIYANGADI SOUTH,തയ്യില്‍ ആസ്യ ടീച്ചർ,IUML,UDF,605,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,14,MANGALAD,അക്കരോല്‍ അബ്ദുള്ള,IUML,UDF,621,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,15,POYIL PARA,സജിന പുളീലാവുമ്മൽ,CPI(M),LDF,665,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,16,KUTTIVAYAL,ടി പി ദാമോദരൻ,CPI(M),LDF,739,2025
Kozhikode,Grama Panchayat,G11019,Ayancheri,17,KACHERI PARAMBU,എന്‍ കെ ഗോവിന്ദൻ മാസ്റ്റർ,INC,UDF,449,2025
