District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Alappuzha,Block Panchayat,B04035,Ambalappuzha,6,AMBALAPUZHA,BINDU BAIJU,INC,UDF,2332,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,10,AMBALAPUZHA GOVT COLLEGE,ANITHA SATHEESH,CPI(M),LDF,3092,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,3,ARAVUKADU,GEETHA BABU,CPI(M),LDF,3256,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,2,BLOCK OFFICE,BIBI.U.VIDYA (BIBI VIDHYANANTHAN),CPI(M),LDF,3712,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,5,KAKKAZHAM,PREJITH KUMAR (PREJITH KARIKKAL),CPI(M),LDF,3510,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,9,KAROOR,MAYADEVI (V.S.MAYADEVI),CPI(M),LDF,3177,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,11,M C H,MUHAMMAD KABEER (U.M.KABEER),INC,UDF,2855,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,13,POLI TECHNIQUE,ROSE DHALEEMA,INC,UDF,2846,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,12,PUNNAPRA,K.M.JUNAID,CPI,LDF,2375,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,8,PURAKKAD,P.SABU,INC,UDF,3231,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,7,THOTTAPPALLY,RAJESWARI KRISHNAN,INC,UDF,2733,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,1,VADACKAL,N.MURALEEDHARAN,CPI,LDF,3136,2015
Alappuzha,Block Panchayat,B04035,Ambalappuzha,4,VANDANAM,RAJITHA,CPI,LDF,2097,2015
Alappuzha,Block Panchayat,B04034,Aryad,10,AIKABHARATHAM,SINIMOL JOJI ,INC,UDF,3735,2015
Alappuzha,Block Panchayat,B04034,Aryad,2,BLOCK OFFICE WARD,G.JAYATHILAKAN,INC,UDF,4248,2015
Alappuzha,Block Panchayat,B04034,Aryad,8,CHARAMPARAMPU,SUMA SASIDHARAN,CPI(M),LDF,3053,2015
Alappuzha,Block Panchayat,B04034,Aryad,9,KAITHATHIL,SHEENA SANALKUMAR  ,CPI(M),LDF,3494,2015
Alappuzha,Block Panchayat,B04034,Aryad,6,kALAVOOR, T.SREEHARI,CPI(M),LDF,3628,2015
Alappuzha,Block Panchayat,B04034,Aryad,13,KATTOOR,LEELAMMA JACOB,CPI,LDF,3589,2015
Alappuzha,Block Panchayat,B04034,Aryad,5,MANNANCHERRY,MANOHARAN NANDIKADU ,INC,UDF,4476,2015
Alappuzha,Block Panchayat,B04034,Aryad,3,MUHAMMA,KOCHUTHRESYA JAMES,CPI(M),LDF,4429,2015
Alappuzha,Block Panchayat,B04034,Aryad,11,PATHIRAPPALLY,N P SNEHAJAN,CPI(M),LDF,3382,2015
Alappuzha,Block Panchayat,B04034,Aryad,7,POONTHOPPU,VILANCHITHA SHANAVAS ,CPI(M),LDF,3410,2015
Alappuzha,Block Panchayat,B04034,Aryad,4,PUTHANANGADI,V M SUGAANDHI ,INC,UDF,3980,2015
Alappuzha,Block Panchayat,B04034,Aryad,12,SARVODHAYAPURAM,JAYAN THOMAS,CPI(M),LDF,4324,2015
Alappuzha,Block Panchayat,B04034,Aryad,1,VALAVANAD,SREEDEVI K,CPI(M),LDF,3968,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,1,Bharanikkavu,C. DIVAKARAN,CPI(M),LDF,4200,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,8,Charummood,LILLY( LILLY GOPALAKRISHNAN) ,IUML,UDF,3453,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,2,Chunakkara,K. SANJU ,CPI(M),LDF,4436,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,10,Kannanakuzhy,LEENA (LEENA TEACHER) ,CPI,LDF,4590,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,13,Kattanam,RAJANI (RAJANI PARACKATTU) ,IND,OTH,4723,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,7,L S Ward,P.P. KOSHY ,INC,UDF,3576,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,12,Manackadu ,RASIYA NAUSHAD LABBA( RASIYA  E.).),CPI(M),LDF,4299,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,3,Nooranad,REMADEVI UNNIKRISHNAN NAIR (REMA UNNIKRI,CPI(M),LDF,3680,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,4,Padanilam,NALINI( NALINI DEVADASAN),CPI(M),LDF,3463,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,5,Palamel,ANU S. SIVAN (ANU SIVAN),CPI,LDF,4626,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,6,Panayil,NAUSHAD ABDUL KHADAR( A. NAUSHAD) ,CPI(M),LDF,3801,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,9,Thamarakkulam,M.K.VIMALAN ,CPI(M),LDF,4104,2015
Alappuzha,Block Panchayat,B04041,Bharanikkavu,11,Vallikunnam,GEETHAKUMARY L. ( GEETHA MADHU) ,CPI,LDF,3994,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,6,Anaprambal,BIJU (BIJU PALATHINKAL),INC,UDF,2585,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,11,Champakulam,PRASANNAKUMARI,INC,UDF,2788,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,10,Chembumpuram,MINI (MINI MANMADHAN),INC,UDF,2825,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,3,Edathwa,POLY (POLY THOMAS),INC,UDF,3518,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,13,Kainakary,KAMALAMMA ( KAMALAMMA UDHAYANDHAN),CPI(M),LDF,2406,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,1,Kuttamangalam,MADHU C KOLANGARA,INC,UDF,2518,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,2,Mancombu Thekkekkara,K MURALI,KCM,UDF,2503,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,9,Nadubhagam,PRAKASAN ( K PRAKASAN ),CPI(M),LDF,2542,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,4,Naduvilemuri,RAMANI (RAMANI S BHANU),INC,UDF,2495,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,12,Nedumudi,ULLAS B KRISHNAN,INC,UDF,2145,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,7,Pacha,MONCY SONY,INC,UDF,3426,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,8,Thakazhy,SAJITHAKUMARI ( MAYA),CPI(M),LDF,2247,2015
Alappuzha,Block Panchayat,B04036,Champakkulam,5,Thalavadi,SINDHU (SINDHU MAHESAN),CPI,LDF,2132,2015
Alappuzha,Block Panchayat,B04038,Chengannur,7,Ala,SUNIL JOHN MANNARETHU,INC,UDF,2786,2015
Alappuzha,Block Panchayat,B04038,Chengannur,4,Areekkara,T. ANITHAKUMARI,CPI(M),LDF,4158,2015
Alappuzha,Block Panchayat,B04038,Chengannur,12,Budhanur,ANITHA.L,INC,UDF,3128,2015
Alappuzha,Block Panchayat,B04038,Chengannur,9,Cheriyanad,G.VIVEK,CPI(M),LDF,2591,2015
Alappuzha,Block Panchayat,B04038,Chengannur,8,Cheruvallur,SHALINI (VAVA),CPI,LDF,2849,2015
Alappuzha,Block Panchayat,B04038,Chengannur,11,Ennakkad,N. SUDHAMONY,CPI(M),LDF,3197,2015
Alappuzha,Block Panchayat,B04038,Chengannur,3,Mulakkuzha,SAMUEL (SAJI THOTTIYATTU),CPI(M),LDF,4716,2015
Alappuzha,Block Panchayat,B04038,Chengannur,13,Pandanad,G. KRISHNAKUMAR,CPI(M),LDF,2329,2015
Alappuzha,Block Panchayat,B04038,Chengannur,10,Puliyur,KRISHNAKUMARI THEKKEDATHU,INC,UDF,2486,2015
